script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
adventureworks_js1,0    ,239,1,239,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,799
adventureworks_js1,1    ,725,1,725,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,1,1,1064
adventureworks_js1,2    ,725,1,725,0,0,-2,0.5,0.5,0.5,0,0,1,0.5,0.666667,1,1,1,1064
adventureworks_js1,3    ,699,1,699,0,0,-2,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,1,1,799
adventureworks_jc5,0    ,183,2,183,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,283
adventureworks_jc5,1    ,192,2,192,0,0,-2,1,1,1,0,0,0,0.666667,0,0.333333,2,2,292
adventureworks_jc5,2    ,183,2,183,0,0,-2,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.25,2,2,283
adventureworks_jc5,3    ,183,2,183,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.4,2,2,283
adventureworks_jc4,0    ,277,2,277,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,613
adventureworks_jc4,1    ,525,2,525,0,0,-2,1,0.4,1,0,0,0,0.5,0,0.666667,2,2,625
adventureworks_jc4,2    ,513,2,513,0,0,-2,0.166667,0.166667,0.166667,0,0,0,0.25,0,0.5,2,2,613
adventureworks_jc4,3    ,513,2,513,0,0,-2,0.333333,0.333333,0.333333,0,0,0,0.5,0,0.666667,2,2,613
adventureworks_jc3,0    ,4,2,4,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,68
adventureworks_jc3,1    ,10,1,10,0,0,-2,1,1,1,0,0,0,1,0,0.4,1,1,74
adventureworks_jc3,2    ,14,2,14,0,0,-2,0.166667,0.333333,0.166667,0,0,0,0.333333,0,0.222222,2,2,78
adventureworks_jm1,0    ,175,2,175,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,277
adventureworks_jm1,1    ,380,1,380,0,0,-2,1,1,1,0,0,1,0.5,0.4,0.4,1,1,480
adventureworks_jm1,2    ,191,1,191,0,0,-2,0.5,0.5,0.5,0,0,0.2,0.5,0.2,0.2,1,1,291
adventureworks_jc2,0    ,175,1,175,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,177
adventureworks_jc2,1    ,12,2,12,0,0,-2,1,1,1,0,0,0,1,0,0.4,2,2,14
adventureworks_jc2,2    ,201,2,201,0,0,-2,0.166667,0.166667,0.166667,0,0,0,0.333333,0,0.222222,2,2,203
adventureworks_jc1,0    ,175,2,175,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,277
adventureworks_jc1,1    ,380,1,380,0,0,-2,1,1,1,0,0,1,0.5,0.4,0.4,1,1,480
adventureworks_jc1,2    ,191,1,191,0,0,-2,0.5,0.5,0.5,0,0,0.2,0.5,0.2,0.2,1,1,291
adventureworks_jm2,0    ,175,1,175,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,277
adventureworks_jm2,1    ,380,1,380,0,0,-2,1,1,1,0,0,1,0.5,0.4,0.4,1,1,480
adventureworks_jm2,2    ,493,1,493,0,0,-2,0.5,0.5,0.5,0,0,0.5,0.5,0.333333,0.2,1,1,593
adventureworks_js5,0    ,152786,7,152786,0,0,-2,1,1,1,0,0,0.666667,0.666667,0,1,7,7,152891
adventureworks_js5,1    ,4,6,4,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,121421
adventureworks_js5,2    ,121327,4,121327,0,0,-2,0.5,0.5,0.5,0,0,0.5,0.5,0.666667,1,4,4,121432
adventureworks_js5,3    ,152784,5,152784,0,0,-2,0.5,0.5,0.5,0.5,0,0.333333,0.333333,0,0,5,5,152885
adventureworks_js4,0    ,4,6,4,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,121421
adventureworks_js4,1    ,152780,5,152780,0,0,-2,1,1,1,1,0,0.666667,0.666667,0,0.666667,5,5,152881
adventureworks_js4,2    ,121316,4,121316,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0,0.5,4,4,121417
adventureworks_js4,3    ,152790,4,152790,0,0,-2,0.5,0.5,0.5,0.5,0,0.333333,0.333333,0,0.333333,4,4,152891
adventureworks_jm3,0    ,211,2,211,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,416
adventureworks_jm3,1    ,320,1,320,0,0,-2,1,0.5,1,0,0,1,1,1,0.5,1,1,420
adventureworks_jm3,2    ,316,2,316,0,0,-2,0.4,0.4,0.4,0,0,1,0.666667,0.666667,1,2,2,416
adventureworks_jm4,0    ,355,2,355,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,560
adventureworks_jm4,1    ,108,1,108,0,0,-2,1,1,1,0,0,0,1,0,0.5,1,1,208
adventureworks_jm4,2    ,105,2,105,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,2,2,205
adventureworks_jm4,3    ,804,1,804,0,0,-2,0.333333,0.166667,0.333333,0,0,0,0.333333,0,0.333333,1,1,904
adventureworks_js3,0    ,60398,6,60398,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,121417
adventureworks_js3,1    ,64723,2,64723,0,0,-2,1,1,1,0,0,0.666667,0.666667,0,0.666667,2,2,64824
adventureworks_js3,2    ,60918,2,60918,0,0,-2,0.666667,0.666667,0.666667,0.666667,0,0.5,0.5,0,0.5,2,2,61019
adventureworks_js3,3    ,92382,3,92382,0,0,-2,0.5,0.5,0.5,0,0,0.333333,0.333333,0,0.333333,3,3,92483
adventureworks_js2,0    ,60398,7,60398,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,121417
adventureworks_js2,1    ,152780,4,152780,0,0,-2,1,0.666667,1,0,0,0.666667,0.666667,0,0.666667,4,4,152881
adventureworks_js2,2    ,121316,4,121316,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0,0.666667,4,4,121417
adventureworks_js2,3    ,125121,4,125121,0,0,-2,0.333333,0.333333,0.5,0.5,0,0.333333,0.333333,0,0,4,4,125222
adventureworks_jm5,0    ,103,2,103,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,205
adventureworks_jm5,1    ,16,1,16,0,0,-2,1,1,1,0,0,0,1,0,0.4,1,1,116
adventureworks_jm5,2    ,2,2,2,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.4,2,2,102
adventureworks_jm5,3    ,107,2,107,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,0.2,2,2,207
adventureworks_js1,4    ,239,1,239,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,799
adventureworks_jc5,4    ,183,2,183,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,283
adventureworks_jc4,4    ,277,2,277,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,613
adventureworks_jc3,4    ,4,2,4,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,68
adventureworks_jm1,4    ,175,2,175,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,277
adventureworks_jc2,4    ,175,1,175,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,177
adventureworks_jc1,4    ,175,2,175,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,277
adventureworks_jm2,4    ,175,1,175,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,277
adventureworks_js5,4    ,152786,7,152786,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,152891
adventureworks_js4,4    ,4,6,4,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,121421
adventureworks_jm3,4    ,211,2,211,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,416
adventureworks_jm4,4    ,355,2,355,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,560
adventureworks_js3,4    ,60398,6,60398,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,121417
adventureworks_js2,4    ,60398,7,60398,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,121417
adventureworks_jm5,4    ,103,2,103,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,205
