script_name,test_id,m_u_tuple_count,duration,total_score,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,total_test_cnt
balance_js4,0,0,25,0,0,0,0,0,0,0,0,0,0,25,1119
balance_js4,1,1412,0,1412,1,1,1,0,0,1,0.666667,0,0.666667,0,1751
balance_js4,2,780,1,780,1,1,1,0,0,1,0.5,0,0.5,1,1119
balance_js4,3,780,1,780,0.5,0.5,0.5,0,0,0.5,0.25,0,0.25,1,1119
balance_jm3,0,0,25,0,0,0,0,0,0,0,0,0,0,25,1104
balance_jm3,1,1238,1,1238,1,1,1,0,0,0,0.666667,0,0.4,1,1338
balance_jm3,2,1004,1,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,1,1104
balance_jm3,3,1004,1,1004,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,1,1104
balance_jc1,0,0,28,0,0,0,0,0,0,0,0,0,0,28,1104
balance_jc1,1,1406,1,1406,1,1,1,0,0,1,0.333333,0,0.333333,1,1736
balance_jc1,2,774,1,774,1,1,1,0,0,1,0.285714,0,0.285714,1,1104
balance_jc1,3,774,2,774,0.5,0.5,0.5,0,0,0.5,0.142857,0,0.142857,2,1104
balance_jm2,0,0,24,0,0,0,0,0,0,0,0,0,0,24,1104
balance_jm2,1,1004,1,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,1,1104
balance_jm2,2,1004,1,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.666667,1,1104
balance_jm2,3,1004,1,1004,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,1,1104
balance_js5,0,0,30,0,0,0,0,0,0,0,0,0,0,30,1119
balance_js5,1,1412,1,1412,1,1,1,0,0,1,0.666667,0,0.666667,1,1751
balance_js5,2,780,1,780,1,1,1,0,0,1,0.5,0,0.5,1,1119
balance_js5,3,780,1,780,0.5,0.5,0.5,0,0,0.5,0.25,0,0.25,1,1119
balance_js2,0,0,34,0,0,0,0,0,0,0,0,0,0,34,1119
balance_js2,1,1674,1,1674,1,1,1,0,0,1,0.666667,0,0.666667,1,1817
balance_js2,2,976,1,976,1,1,1,0,0,1,0.5,0,0.5,1,1119
balance_js2,3,976,1,976,0.5,0.5,0.5,0,0,0.5,0.25,0,0.25,1,1119
balance_jm5,0,0,27,0,0,0,0,0,0,0,0,0,0,27,1104
balance_jm5,1,1406,1,1406,1,1,1,0,0,1,0.4,0,0.4,1,1736
balance_jm5,2,774,1,774,1,1,1,0,0,1,0.333333,0,0.333333,1,1104
balance_jm5,3,1406,1,1406,0.5,0.5,0.5,0,0,0.5,0.2,0,0.2,1,1736
balance_jm4,0,0,31,0,0,0,0,0,0,0,0,0,0,31,1104
balance_jm4,1,1050,1,1050,1,1,1,0,0,1,0.4,0,0.4,1,1159
balance_jm4,2,995,1,995,1,1,1,0,0,1,0.333333,0,0.333333,1,1104
balance_jm4,3,1004,1,1004,0.5,0.5,0.5,0,0,0,0.166667,0,0.166667,1,1104
