script_name,test_id,m_u_tuple_count,duration,total_score,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,total_test_cnt
data_collector_jc4,0,0,33,0,0,0,0,0,0,0,0,0,0,33,254710
data_collector_jc4,1,272177,16,272177,1,1,1,0,0,0.4,0.285714,1,0.285714,16,272408
data_collector_jc4,2,254479,16,254479,1,1,1,0,0,0.333333,0.25,0,0.333333,16,254710
data_collector_jc4,3,272177,25,272177,0.5,0.5,0.5,0,0,0.2,0.142857,0.5,0.142857,25,272408
data_collector_js1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,46387
data_collector_js1,1,55820,2,55820,1,1,1,0,0,1,1,0,0,2,55920
data_collector_js1,2,46287,2,46287,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,2,46387
data_collector_js1,3,46287,2,46287,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,2,46387
data_collector_jc5,0,0,35,0,0,0,0,0,0,0,0,0,0,35,254710
data_collector_jc5,1,272177,17,272177,1,1,1,0,0,0.4,0.285714,1,0.285714,17,272408
data_collector_jc5,2,254479,18,254479,1,1,1,0,0,0.333333,0.25,0,0.333333,18,254710
data_collector_jc5,3,272177,20,272177,0.5,0.5,0.5,0,0,0.2,0.142857,0.5,0.142857,20,272408
data_collector_jm1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,44164
data_collector_jm1,1,44064,2,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,2,44164
data_collector_jm1,2,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,3,44164
data_collector_jm1,3,44296,3,44296,0.5,0.5,0.5,0,0,0,0.333333,0,0.2,3,44396
data_collector_jc2,0,0,35,0,0,0,0,0,0,0,0,0,0,35,254710
data_collector_jc2,1,254610,11,254610,1,1,1,0,0,0,1,0,0.285714,11,254710
data_collector_jc2,2,254610,12,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,12,254710
data_collector_jc2,3,254610,17,254610,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.166667,17,254710
data_collector_jc3,0,0,30,0,0,0,0,0,0,0,0,0,0,30,254710
data_collector_jc3,1,254610,12,254610,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,12,254710
data_collector_jc3,2,254610,16,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,16,254710
data_collector_jc3,3,254610,21,254610,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.166667,21,254710
data_collector_jm3,0,0,7,0,0,0,0,0,0,0,0,0,0,7,44164
data_collector_jm3,1,44064,3,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,3,44164
data_collector_jm3,2,44064,3,44064,1,1,1,0,0,0,1,0,0.285714,3,44164
data_collector_jm3,3,44064,3,44064,0.25,0.25,0.25,0,0,0,0.25,0,0.25,3,44164
data_collector_js4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,46387
data_collector_js4,1,55820,2,55820,1,1,1,0,0,1,1,0,0,2,55920
data_collector_js4,2,46287,1,46287,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,1,46387
data_collector_js4,3,46287,1,46287,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,1,46387
data_collector_jc1,0,0,23,0,0,0,0,0,0,0,0,0,0,23,254710
data_collector_jc1,1,254610,14,254610,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,14,254710
data_collector_jc1,2,254610,18,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,18,254710
data_collector_jc1,3,254610,19,254610,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.166667,19,254710
data_collector_js5,0,0,4,0,0,0,0,0,0,0,0,0,0,4,46387
data_collector_js5,1,55820,3,55820,1,1,1,0,0,1,1,0,0,3,55920
data_collector_js5,2,46287,3,46287,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,3,46387
data_collector_js5,3,46287,3,46287,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,3,46387
data_collector_jm2,0,0,8,0,0,0,0,0,0,0,0,0,0,8,44164
data_collector_jm2,1,44064,2,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.666667,2,44164
data_collector_jm2,2,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,3,44164
data_collector_jm2,3,44064,3,44064,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.25,3,44164
data_collector_jm5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,44164
data_collector_jm5,1,44064,4,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,4,44164
data_collector_jm5,2,44064,9,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,9,44164
data_collector_jm5,3,44064,3,44064,0.25,0.25,0.25,0,0,0,0.25,0,0.25,3,44164
data_collector_js2,0,0,6,0,0,0,0,0,0,0,0,0,0,6,46387
data_collector_js2,1,49101,2,49101,1,1,1,0,0,1,1,0,0,2,49202
data_collector_js2,2,46286,2,46286,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0,0.666667,2,46387
data_collector_js2,3,46286,3,46286,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,3,46387
data_collector_js3,0,0,5,0,0,0,0,0,0,0,0,0,0,5,46387
data_collector_js3,1,49442,2,49442,1,1,1,0,0,1,1,0,0,2,49543
data_collector_js3,2,46286,1,46286,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0,0.666667,1,46387
data_collector_js3,3,46286,2,46286,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,2,46387
data_collector_jm4,0,0,6,0,0,0,0,0,0,0,0,0,0,6,44164
data_collector_jm4,1,44064,3,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,3,44164
data_collector_jm4,2,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,3,44164
data_collector_jm4,3,44064,3,44064,0.25,0.25,0.25,0,0,0,0.25,0,0.25,3,44164
data_collector_jc4,4,272177,25,272177,0,0,0,0,0,0,0,0,0,25,272408
data_collector_js1,4,46287,2,46287,0,0,0,0,0,0,0,0,0,2,46387
data_collector_jc5,4,272177,20,272177,0,0,0,0,0,0,0,0,0,20,272408
data_collector_jm1,4,44296,3,44296,0,0,0,0,0,0,0,0,0,3,44396
data_collector_jc2,4,254610,17,254610,0,0,0,0,0,0,0,0,0,17,254710
data_collector_jc3,4,254610,21,254610,0,0,0,0,0,0,0,0,0,21,254710
data_collector_jm3,4,44064,3,44064,0,0,0,0,0,0,0,0,0,3,44164
data_collector_js4,4,46287,1,46287,0,0,0,0,0,0,0,0,0,1,46387
data_collector_jc1,4,254610,19,254610,0,0,0,0,0,0,0,0,0,19,254710
data_collector_js5,4,46287,3,46287,0,0,0,0,0,0,0,0,0,3,46387
data_collector_jm2,4,44064,3,44064,0,0,0,0,0,0,0,0,0,3,44164
data_collector_jm5,4,44064,3,44064,0,0,0,0,0,0,0,0,0,3,44164
data_collector_js2,4,46286,3,46286,0,0,0,0,0,0,0,0,0,3,46387
data_collector_js3,4,46286,2,46286,0,0,0,0,0,0,0,0,0,2,46387
data_collector_jm4,4,44064,3,44064,0,0,0,0,0,0,0,0,0,3,44164
,,,,,,,,,,,,,,,
AVG,,,,,0.367777787,0.367777787,0.367777787,0,0,0.118222213,0.31698412,0.04,0.221714253,8.933333333,
SDV,,,,,0.361712411,0.361712411,0.361712411,0,0,0.277174363,0.328400381,0.179338122,0.26348039,9.133149206,
