script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
employees_jc3,0    ,6,3,6,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,63
employees_jc3,1    ,7,3,7,0,0,-2,0.4,0.4,0.4,0,0,1,0.666667,1,1,3,3,63
employees_jc3,2    ,7,4,7,0,0,-2,0.25,0.25,0.25,0,0,0.5,0.333333,0.5,0.5,4,4,63
employees_jc2,0    ,6,3,6,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,15
employees_jc2,1    ,1,3,1,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.666667,3,3,9
employees_jc2,2    ,1,3,1,0,0,-2,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.333333,3,3,9
employees_jm1,0    ,4081,6,4081,0,0,-2,0.666667,1,1,0,0,0.333333,0.666667,1,0.333333,6,6,4193
employees_jm1,1    ,140766,8,140766,0,0,-2,0,0,0,0,0,0,0,0,0,8,8,144955
employees_jm1,2    ,4089,4,4089,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,4,4,4189
employees_jm1,3    ,1370893,42,1370893,0,0,-2,0,0,0,0,0,0,0,0,0,42,42,1375082
employees_jc5,0    ,6,2,6,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,63
employees_jc5,1    ,2,2,2,0,0,-2,0.5,0.5,0.5,0,0,1,0.5,0.666667,0.666667,2,2,64
employees_jc5,2    ,7,2,7,0,0,-2,0.25,0.25,0.25,0,0,0.5,0.333333,0.333333,0.333333,2,2,63
employees_js1,0    ,169023,12,169023,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,0.666667,12,12,169123
employees_js1,1    ,169023,6,169023,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,1,6,6,169123
employees_js1,2    ,2437391,71,2437391,0,0,-2,0,0,0,0,0,0,0,0,0,71,71,2606514
employees_js1,3    ,1430605,50,1430605,0,0,-2,0,0,0,0,0,0,0,0,0,50,50,1599728
employees_jc4,0    ,6,4,6,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,63
employees_jc4,1    ,2,2,2,0,0,-2,0.5,0.5,0.5,0,0,1,0.5,0.666667,0.666667,2,2,64
employees_jc4,2    ,7,2,7,0,0,-2,0.25,0.25,0.25,0,0,0.5,0.333333,0.333333,0.333333,2,2,63
employees_jm4,0    ,4685,8,4685,0,0,-2,0.666667,1,1,0,0,0.333333,0.666667,1,0.333333,8,8,4799
employees_jm4,1    ,87557,7,87557,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,92348
employees_jm4,2    ,4691,2,4691,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,4791
employees_jm4,3    ,1787916,51,1787916,0,0,-2,0,0,0,0,0,0,0,0,0,51,51,1792707
employees_js3,0    ,164281,14,164281,0,0,-2,1,1,1,0,0,0.666667,0.5,0,0.666667,14,14,169123
employees_js3,1    ,169023,5,169023,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,1,5,5,169123
employees_js3,2    ,2437391,70,2437391,0,0,-2,0,0,0,0,0,0,0,0,0,70,70,2606514
employees_js3,3    ,1430605,41,1430605,0,0,-2,0,0,0,0,0,0,0,0,0,41,41,1599728
employees_js2,0    ,169013,12,169013,0,0,-2,0.5,0.5,0.5,0.666667,0,0.4,0.5,0,0.4,12,12,169123
employees_js2,1    ,169023,6,169023,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,169123
employees_js2,2    ,116267140,2739,116267140,0,0,-2,0,0,0,0,0,0,0,0,0,2739,2739,116436263
employees_js2,3    ,1430605,45,1430605,0,0,-2,0,0,0,0,0,0,0,0,0,45,45,1599728
employees_jm5,0    ,5003,7,5003,0,0,-2,0.666667,1,1,0,0,0.333333,0.666667,1,0.333333,7,7,5117
employees_jm5,1    ,108883,7,108883,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,113992
employees_jm5,2    ,5009,3,5009,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,3,3,5109
employees_jm5,3    ,2006608,56,2006608,0,0,-2,0,0,0,0,0,0,0,0,0,56,56,2011717
employees_jm2,0    ,4685,10,4685,0,0,-2,0.666667,1,1,0,0,0.333333,0.666667,1,0.333333,10,10,4799
employees_jm2,1    ,87557,6,87557,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,92348
employees_jm2,2    ,4691,2,4691,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,2,2,4791
employees_jm2,3    ,1787916,50,1787916,0,0,-2,0,0,0,0,0,0,0,0,0,50,50,1792707
employees_js5,0    ,122129,12,122129,0,0,-2,0.5,0.5,0.5,1,0,0.4,0.5,0,0.4,12,12,122237
employees_js5,1    ,1835884,47,1835884,0,0,-2,0,0,0,0,0,0,0,0,0,47,47,1958121
employees_jc1,0    ,6,6,6,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,15
employees_jc1,1    ,1,2,1,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,2,2,9
employees_jc1,2    ,1,2,1,0,0,-2,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,2,2,9
employees_js4,0    ,122136,10,122136,0,0,-2,0.5,0.5,0.5,1,0,0.4,0.5,0,0.4,10,10,122237
employees_js4,1    ,1835884,54,1835884,0,0,-2,0,0,0,0,0,0,0,0,0,54,54,1958121
employees_jm3,0    ,5251,6,5251,0,0,-2,0.666667,1,1,0,0,0.333333,0.666667,1,0.333333,6,6,5362
employees_jm3,1    ,181567,9,181567,0,0,-2,0,0,0,0,0,0,0,0,0,9,9,186924
employees_jm3,2    ,5257,2,5257,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,2,2,5357
employees_jm3,3    ,1761851,50,1761851,0,0,-2,0,0,0,0,0,0,0,0,0,50,50,1767208
employees_jc3,4    ,6,3,6,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,63
employees_jc2,4    ,6,3,6,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,15
employees_jm1,4    ,4081,6,4081,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,4193
employees_jc5,4    ,6,2,6,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,63
employees_js1,4    ,169023,12,169023,0,0,-2,0,0,0,0,0,0,0,0,0,12,12,169123
employees_jc4,4    ,6,4,6,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,63
employees_jm4,4    ,4685,8,4685,0,0,-2,0,0,0,0,0,0,0,0,0,8,8,4799
employees_js3,4    ,164281,14,164281,0,0,-2,0,0,0,0,0,0,0,0,0,14,14,169123
employees_js2,4    ,169013,12,169013,0,0,-2,0,0,0,0,0,0,0,0,0,12,12,169123
employees_jm5,4    ,5003,7,5003,0,0,-2,0,0,0,0,0,0,0,0,0,7,7,5117
employees_jm2,4    ,4685,10,4685,0,0,-2,0,0,0,0,0,0,0,0,0,10,10,4799
employees_js5,4    ,122129,12,122129,0,0,-2,0,0,0,0,0,0,0,0,0,12,12,122237
employees_jc1,4    ,6,6,6,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,15
employees_js4,4    ,122136,10,122136,0,0,-2,0,0,0,0,0,0,0,0,0,10,10,122237
employees_jm3,4    ,5251,6,5251,0,0,-2,0,0,0,0,0,0,0,0,0,6,6,5362
