script_name,test_id,m_u_tuple_count,duration,total_score,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
balance_js4,0,1974,1,1974,0,0,0,0,0,0,0,0,0,1,1,3093
balance_js4,1,2665,3,2665,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0.666667,0,2,3,4344
balance_js4,2,2194,3,2194,0.5,0.5,0.5,0,0,1,0.5,1,1,2,3,3873
balance_js4,3,2754,1,2754,0.333333,0.25,0.25,0,0,0.5,0.25,0.25,0.25,1,1,3093
balance_jm3,0,1092,2,1092,0,0,0,0,0,0,0,0,0,2,2,2196
balance_jm3,1,1238,1,1238,1,1,1,0,0,0,0.666667,0,0.4,1,1,1338
balance_jm3,2,1004,1,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,1,1,1104
balance_jm3,3,2125,1,2125,0.2,0.2,0.2,0.5,0,0,0.333333,0,0.5,1,1,2225
balance_jc1,0,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
balance_jc1,1,1406,2,1406,1,1,1,0.333333,0,1,0.333333,0,0.333333,2,2,1736
balance_jc1,2,774,2,774,1,1,1,0,0,1,0.285714,0,0.285714,2,2,1104
balance_jc1,3,1821,2,1821,0.142857,0.142857,0.142857,0.5,0,0.5,0.142857,0.25,0.5,2,2,2151
balance_jm2,0,1042,2,1042,0,0,0,0,0,0,0,0,0,2,2,2146
balance_jm2,1,1004,1,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,1,1,1104
balance_jm2,2,1004,2,1004,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.666667,2,2,1104
balance_jm2,3,2125,1,2125,0.2,0.2,0.2,0.5,0,0,0.333333,0,0.5,1,1,2225
balance_js5,0,925,1,925,0,0,0,0,0,0,0,0,0,1,1,2044
balance_js5,1,2517,2,2517,1,1,1,0,0,1,0.666667,0.666667,0.666667,2,2,3147
balance_js5,2,1414,2,1414,0.666667,0.666667,0.666667,0,0,1,0.5,0.5,0.666667,2,2,2044
