script_name,test_id,m_u_tuple_count,duration,total_score,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
data_collector_jc4,0,277673,68,277673,0,0,0,0,0,0,0,0,0,68,68,532383
data_collector_jc4,1,272177,17,272177,1,1,1,0,0,0.4,0.285714,1,0.285714,17,17,272408
data_collector_jc4,2,254479,14,254479,1,1,1,0,0,0.333333,0.25,0,0.333333,14,14,254710
data_collector_jc4,3,290371,18,290371,0.333333,0.5,0.333333,0,0,0.2,0.142857,0.5,0.166667,18,18,290602
data_collector_js1,0,2135,6,2135,0,0,0,0,0,0,0,0,0,6,6,48522
data_collector_js1,1,55820,2,55820,1,1,1,1,0,1,1,0,0,2,2,55920
data_collector_js1,2,46287,2,46287,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,2,2,46387
data_collector_js1,3,48604,2,48604,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,2,2,48704
data_collector_jc5,0,277673,73,277673,0,0,0,0,0,0,0,0,0,73,73,532383
data_collector_jc5,1,567696,34,567696,0.666667,0.666667,0.666667,0,0,0.5,0.285714,0.666667,0.285714,34,34,568101
data_collector_jc5,2,531978,29,531978,0.666667,0.666667,0.666667,0,0,0.4,0.25,0.4,0.4,29,29,532383
data_collector_jc5,3,549850,30,549850,0.333333,0.333333,0.333333,0,0,0.2,0.142857,0.5,0.166667,30,30,550081
data_collector_jm1,0,3128,9,3128,0,0,0,0,0,0,0,0,0,9,9,47292
data_collector_jm1,1,44064,3,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,3,3,44164
data_collector_jm1,2,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,3,3,44164
data_collector_jm1,3,44296,3,44296,0.5,0.5,0.5,0,0,0,0.333333,0,0.2,3,3,44396
data_collector_jc2,0,25165,46,25165,0,0,0,0,0,0,0,0,0,46,46,279875
data_collector_jc2,1,254610,14,254610,1,1,1,0,0,0,1,0,0.285714,14,14,254710
data_collector_jc2,2,254610,15,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,15,15,254710
data_collector_jc2,3,300897,18,300897,0.142857,0.142857,0.142857,0,0,0,0.333333,0,0.5,18,18,300997
data_collector_jc3,0,38627,47,38627,0,0,0,0,0,0,0,0,0,47,47,293337
data_collector_jc3,1,254610,14,254610,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,14,14,254710
data_collector_jc3,2,254610,15,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,15,15,254710
data_collector_jc3,3,464641,32,464641,0.142857,0.142857,0.142857,0,0,0,0.333333,0,0.5,32,32,464741
data_collector_jm3,0,5351,8,5351,0,0,0,0,0,0,0,0,0,8,8,49515
data_collector_jm3,1,44064,3,44064,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,3,3,44164
data_collector_jm3,2,44064,3,44064,1,1,1,0,0,0,1,0,0.285714,3,3,44164
data_collector_jm3,3,90351,5,90351,0.166667,0.166667,0.166667,0.166667,0,0,0.25,0,0.5,5,5,90451
data_collector_js4,0,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_js4,1,56936,2,56936,1,1,1,1,0,1,1,0,0,2,2,58142
data_collector_js4,2,46469,2,46469,0.666667,0.666667,0.666667,0,0,0,0.666667,0,1,2,2,48704
data_collector_js4,3,48422,2,48422,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.5,2,2,48522
data_collector_jc1,0,13462,43,13462,0,0,0,0,0,0,0,0,0,43,43,268172
data_collector_jc1,1,254610,16,254610,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,16,16,254710
data_collector_jc1,2,254610,14,254610,0.5,0.5,0.5,0,0,0,0.5,0,0.333333,14,14,254710
data_collector_jc1,3,418354,27,418354,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.166667,27,27,418454
data_collector_js5,0,2135,7,2135,0,0,0,0,0,0,0,0,0,7,7,48522
data_collector_js5,1,92574,4,92574,1,1,1,1,0,1,1,0,0,4,4,92674
data_collector_js5,2,92574,4,92574,0.666667,0.666667,0.666667,0.666667,0,0,0.666667,0,1,4,4,92674
data_collector_js5,3,94891,4,94891,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0,0.5,4,4,94991
data_collector_jm2,0,2223,8,2223,0,0,0,0,0,0,0,0,0,8,8,46387
data_collector_jm2,1,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.666667,3,3,44164
data_collector_jm2,2,44064,3,44064,0.5,0.5,0.5,0,0,0,0.5,0,0.5,3,3,44164
data_collector_jm2,3,90351,5,90351,0.2,0.2,0.2,0.2,0,0,0.333333,0,0.5,5,5,90451
data_collector_jm5,0,5351,9,5351,0,0,0,0,0,0,0,0,0,9,9,49515
data_collector_jm5,1,106531,168,106531,0.4,0.4,0.4,0,0,1,0.666667,0.4,1,8,168,111982
data_collector_jm5,2,106531,167,106531,0.333333,0.333333,0.333333,0,0,1,0.5,0.333333,1,8,167,111982
data_collector_jm5,3,49415,3,49415,0.166667,0.166667,0.166667,0.5,0,0,0.25,0,0.5,3,3,49515
data_collector_js2,0,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_js2,1,49101,2,49101,1,1,1,1,0,1,1,0,0,2,2,49202
data_collector_js2,2,46286,2,46286,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0,0.666667,2,2,46387
data_collector_js2,3,94888,4,94888,0.333333,0.333333,0.333333,0.5,0,0.333333,0.333333,0,0.5,4,4,94989
data_collector_js3,0,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_js3,1,49442,2,49442,1,1,1,1,0,1,1,0,0,2,2,49543
data_collector_js3,2,46286,2,46286,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0,0.666667,2,2,46387
data_collector_js3,3,94888,4,94888,0.333333,0.333333,0.333333,0.5,0,0.333333,0.333333,0,0.5,4,4,94989
data_collector_jm4,0,3128,8,3128,0,0,0,0,0,0,0,0,0,8,8,47292
data_collector_jm4,1,62467,4,62467,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,4,4,65695
data_collector_jm4,2,62467,5,62467,0.5,0.5,0.5,0,0,0,0.5,0,0.5,5,5,65695
data_collector_jm4,3,47192,3,47192,0.25,0.25,0.25,0,0,0,0.25,0,0.25,3,3,47292
data_collector_jc4,4,277673,68,277673,0,0,0,0,0,0,0,0,0,68,68,532383
data_collector_js1,4,2135,6,2135,0,0,0,0,0,0,0,0,0,6,6,48522
data_collector_jc5,4,277673,73,277673,0,0,0,0,0,0,0,0,0,73,73,532383
data_collector_jm1,4,3128,9,3128,0,0,0,0,0,0,0,0,0,9,9,47292
data_collector_jc2,4,25165,46,25165,0,0,0,0,0,0,0,0,0,46,46,279875
data_collector_jc3,4,38627,47,38627,0,0,0,0,0,0,0,0,0,47,47,293337
data_collector_jm3,4,5351,8,5351,0,0,0,0,0,0,0,0,0,8,8,49515
data_collector_js4,4,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_jc1,4,13462,43,13462,0,0,0,0,0,0,0,0,0,43,43,268172
data_collector_js5,4,2135,7,2135,0,0,0,0,0,0,0,0,0,7,7,48522
data_collector_jm2,4,2223,8,2223,0,0,0,0,0,0,0,0,0,8,8,46387
data_collector_jm5,4,5351,9,5351,0,0,0,0,0,0,0,0,0,9,9,49515
data_collector_js2,4,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_js3,4,2135,5,2135,0,0,0,0,0,0,0,0,0,5,5,48522
data_collector_jm4,4,3128,8,3128,0,0,0,0,0,0,0,0,0,8,8,47292
