script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
polling_etl_jc3,0    ,149,1,149,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,249
polling_etl_jc3,1    ,48,1,48,0,0,-2,1,1,1,0,0,0.333333,0.285714,0,0.333333,1,1,249
polling_etl_jc3,2    ,55046,3,55046,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55295
polling_etl_jc3,3    ,55112,4,55112,0,0,-2,0.166667,0.133333,0.133333,0,0,0.111111,0.0952381,0.111111,0.166667,4,4,55313
polling_etl_jm1,0    ,115,1,115,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,215
polling_etl_jm1,1    ,40,1,40,0,0,-2,0.666667,0.666667,0.666667,1,0,0.4,0.4,0,0.4,1,1,215
polling_etl_jm1,2    ,55046,3,55046,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55261
polling_etl_jm1,3    ,55352,3,55352,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55527
polling_etl_jc2,0    ,75,1,75,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,175
polling_etl_jc2,1    ,40,1,40,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,215
polling_etl_jc2,2    ,55064,3,55064,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55239
polling_etl_jc2,3    ,55214,3,55214,0,0,-2,0.25,0.25,0.25,0,0,0,0.5,0,0.25,3,3,55314
polling_etl_js1,0    ,175,4,175,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,55321
polling_etl_js1,1    ,104,3,104,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0.666667,0.666667,3,3,55291
polling_etl_js1,2    ,55046,2,55046,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,55261
polling_etl_js1,3    ,55120,2,55120,0,0,-2,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,2,2,55261
polling_etl_jc5,0    ,439,1,439,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,539
polling_etl_jc5,1    ,439,1,439,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.4,1,1,539
polling_etl_jc5,2    ,139,1,139,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,678
polling_etl_jc5,3    ,602,1,602,0,0,-2,0.0952381,0.0952381,0.0952381,0,0,0,0.222222,0,0.333333,1,1,702
polling_etl_jc4,0    ,149,1,149,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,249
polling_etl_jc4,1    ,48,1,48,0,0,-2,1,1,1,0.285714,0,0.333333,0.285714,0,0.333333,1,1,249
polling_etl_jc4,2    ,139,1,139,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,388
polling_etl_jc4,3    ,187,1,187,0,0,-2,0.0952381,0.0952381,0.0952381,0.333333,0,0.111111,0.0952381,0.111111,0.333333,1,1,388
polling_etl_jm4,0    ,71,1,71,0,0,-2,0.666667,0.666667,0.666667,1,0,0.285714,0.285714,0,0.285714,1,1,175
polling_etl_jm4,1    ,26,1,26,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,201
polling_etl_jm4,2    ,55064,3,55064,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55239
polling_etl_jm4,3    ,55106,3,55106,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55281
polling_etl_js3,0    ,175,4,175,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,55321
polling_etl_js3,1    ,104,3,104,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0.666667,0.666667,3,3,55291
polling_etl_js3,2    ,55046,2,55046,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,55261
polling_etl_js3,3    ,55120,3,55120,0,0,-2,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,3,3,55261
polling_etl_js2,0    ,175,4,175,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,55321
polling_etl_js2,1    ,104,3,104,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0.666667,0.666667,3,3,55291
polling_etl_js2,2    ,55046,2,55046,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,55261
polling_etl_js2,3    ,55120,2,55120,0,0,-2,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,2,2,55261
polling_etl_jm5,0    ,23,1,23,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,0.5,1,1,123
polling_etl_jm5,1    ,52,1,52,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,175
polling_etl_jm5,2    ,55085,3,55085,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55208
polling_etl_jm5,3    ,55129,3,55129,0,0,-2,0.25,0.25,0.25,0,0,0,0.25,0,0.25,3,3,55229
polling_etl_jc1,0    ,115,1,115,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,215
polling_etl_jc1,1    ,74,1,74,0,0,-2,1,1,1,0,0,0.4,1,0,0.4,1,1,215
polling_etl_jc1,2    ,139,1,139,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,354
polling_etl_jc1,3    ,213,1,213,0,0,-2,0.166667,0.166667,0.166667,0.166667,0,0.2,0.166667,0.2,0.5,1,1,354
polling_etl_jm2,0    ,75,1,75,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,1,1,175
polling_etl_jm2,1    ,40,0,40,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,215
polling_etl_jm2,2    ,55064,3,55064,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55239
polling_etl_jm2,3    ,55312,3,55312,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55487
polling_etl_js5,0    ,175,4,175,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,55321
polling_etl_js5,1    ,104,3,104,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0.666667,0.666667,3,3,55291
polling_etl_js5,2    ,55046,2,55046,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,55261
polling_etl_js5,3    ,55120,2,55120,0,0,-2,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,2,2,55261
polling_etl_js4,0    ,175,4,175,0,0,-2,0,0,0,0,0,0,0,0,0,4,4,55321
polling_etl_js4,1    ,104,3,104,0,0,-2,0.666667,0.666667,0.666667,1,0,0.5,0.5,0.666667,0.666667,3,3,55291
polling_etl_js4,2    ,55046,2,55046,0,0,-2,0,0,0,0,0,0,0,0,0,2,2,55261
polling_etl_js4,3    ,55120,2,55120,0,0,-2,0.5,0.5,0.5,0,0,0.25,0.25,0.25,0.25,2,2,55261
polling_etl_jm3,0    ,101,1,101,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,1,1,201
polling_etl_jm3,1    ,4,1,4,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,205
polling_etl_jm3,2    ,55080,3,55080,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55281
polling_etl_jm3,3    ,55102,3,55102,0,0,-2,0,0,0,0,0,0,0,0,0,3,3,55303
