script_name,test_id,test_type,tquery,fixed_query,duration,final_score,similarity
adventureworks_js1,1,jc   ,"""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID""","""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p LEFT JOIN productvendor pv on p.productid = pv.productid LEFT JOIN vendor v on pv.businessentityid = v.businessentityid""",1,0,1
adventureworks_js1,2,jc   ,"""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID""","""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p LEFT JOIN productvendor pv on p.productid = pv.productid LEFT JOIN vendor v on pv.businessentityid = v.businessentityid""",1,0,1
adventureworks_js1,3,jc   ,"""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID""","""select p.productid,pv.businessentityid, v.businessentityid as vendor_businessentityid from product p LEFT JOIN productvendor pv on p.productid = pv.productid JOIN vendor v on pv.businessentityid = v.businessentityid""",1,239,0.9
adventureworks_jc5,0,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productmodelid LEFT JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",1,0,1
adventureworks_jc5,1,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productid JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",0,183,0.88
adventureworks_jc5,2,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productid LEFT JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",0,192,0.92
adventureworks_jc4,0,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p LEFT JOIN productvendor pv ON p.productid = pv.productid LEFT JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productmodelid LEFT JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",0,0,1
adventureworks_jc4,1,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p LEFT JOIN productvendor pv ON p.productid = pv.productid LEFT JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productid JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",1,513,0.88
adventureworks_jc4,2,jt   ,"""select p.productid,pv.businessentityid, piv.productid as piv_productid, piv.locationid, pm.productmodelid, u.unitmeasurecode from product p left join productvendor pv on p.productid = pv.productid left join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid left join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productinventory piv on p.productid = piv.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, piv.productid AS piv_productid, piv.locationid AS locationid, pm.productmodelid AS productmodelid, u.unitmeasurecode AS unitmeasurecode FROM product p LEFT JOIN productvendor pv ON p.productid = pv.productid LEFT JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productid LEFT JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productinventory piv ON p.productid = piv.productid""",1,525,0.92
adventureworks_jc3,0,jt   ,"""select p.productid,pv.businessentityid,pd.productid as pd_productid, pd.documentnode from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID join productmodel pm on pm.productmodelid = p.productmodelid join unitmeasure u on u.unitmeasurecode = p.sizeunitmeasurecode join productdocument pd on p.productid = pd.productid""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid, pd.productid AS pd_productid, pd.documentnode AS documentnode FROM product p JOIN productvendor pv ON p.productid = pv.productid LEFT JOIN vendor v ON pv.businessentityid = v.businessentityid JOIN productmodel pm ON pm.productmodelid = p.productmodelid JOIN unitmeasure u ON u.unitmeasurecode = p.sizeunitmeasurecode JOIN productdocument pd ON p.productid = pd.productid""",0,0,0.96
