script_name,test_id,test_type,tquery,fixed_query,duration,final_score,similarity
polling_etl_jc3,0,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid join respondents r on a.respondentid = r.id join answersets aws on a.surveyid = aws.surveyid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id JOIN answers a on q.id = a.questionid JOIN respondents r on a.respondentid = r.id JOIN answersets aws on a.surveyid = aws.surveyid AND a.respondentid = aws.respondentid""",2,0,0.925925926
polling_etl_jc3,1,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid join respondents r on a.respondentid = r.id join answersets aws on a.surveyid = aws.surveyid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id JOIN answers a on q.id = a.questionid JOIN respondents r on a.respondentid = r.id JOIN answersets aws on a.surveyid = aws.surveyid AND a.respondentid = aws.respondentid""",2,0,0.925925926
polling_etl_jc3,2,jt   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid join respondents r on a.respondentid = r.id join answersets aws on a.surveyid = aws.surveyid""","""SELECT a.choiceid AS choiceid, a.respondentid AS respondentid, a.surveyid AS surveyid, a.questionid AS questionid, a.context AS context, c.id AS cid, s.id AS sid, aws.lastmodified AS lastmodified FROM questions q JOIN choices c ON q.id = c.questionid JOIN surveys s ON q.surveyid = s.id JOIN answers a ON q.id = a.questionid LEFT JOIN respondents r ON a.respondentid = r.id LEFT JOIN answersets aws ON a.surveyid = aws.surveyid""",1,0,0.92
polling_etl_jc3,3,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid join respondents r on a.respondentid = r.id join answersets aws on a.surveyid = aws.surveyid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id LEFT JOIN answers a on q.id = a.questionid LEFT JOIN respondents r on a.respondentid = r.id LEFT JOIN answersets aws on a.surveyid = aws.surveyid AND a.respondentid = aws.respondentid""",5,0,0.814814815
polling_etl_jc3,3,jt   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid, aws.lastmodified from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid join respondents r on a.respondentid = r.id join answersets aws on a.surveyid = aws.surveyid""","""SELECT a.choiceid AS choiceid, a.respondentid AS respondentid, a.surveyid AS surveyid, a.questionid AS questionid, a.context AS context, c.id AS cid, s.id AS sid, aws.lastmodified AS lastmodified FROM questions q JOIN choices c ON q.id = c.questionid JOIN surveys s ON q.surveyid = s.id JOIN answers a ON q.id = a.questionid LEFT JOIN respondents r ON a.respondentid = r.id LEFT JOIN answersets aws ON a.surveyid = aws.surveyid AND a.respondentid = aws.respondentid""",5,0,0.851851852
polling_etl_jm1,0,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id JOIN answers a on q.id = a.questionid""",1,0,1
polling_etl_jm1,1,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id JOIN answers a on q.id = a.questionid""",1,0,1
polling_etl_jm1,2,jt   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid""","""SELECT a.choiceid AS choiceid, a.respondentid AS respondentid, a.surveyid AS surveyid, a.questionid AS questionid, a.context AS context, c.id AS cid, s.id AS sid FROM questions q JOIN choices c ON q.id = c.questionid JOIN surveys s ON q.surveyid = s.id JOIN answers a ON q.id = a.questionid""",1,0,1
polling_etl_jm1,3,jc   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid""","""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q JOIN choices c on q.id = c.questionid JOIN surveys s on q.surveyid = s.id LEFT JOIN answers a on q.id = a.questionid""",2,0,0.933333333
polling_etl_jm1,3,jt   ,"""select a.choiceid, a.respondentid, a.surveyid, a.questionid, a.context, c.id as cid, s.id as sid  from questions q join choices c on q.id = c.questionid join surveys s on q.surveyid = s.id join answers a on q.id = a.questionid""","""SELECT a.choiceid AS choiceid, a.respondentid AS respondentid, a.surveyid AS surveyid, a.questionid AS questionid, a.context AS context, c.id AS cid, s.id AS sid FROM questions q JOIN choices c ON q.id = c.questionid JOIN surveys s ON q.surveyid = s.id JOIN answers a ON q.id = a.questionid""",2,0,1
