script_name,test_id,test_type,tquery,fixed_query,duration,final_score
balance_wc3,0,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 't' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""",8,0
balance_wc3,1,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label <> 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""",5,0
balance_wc3,3,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.state ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""",9,14
balance_wc3,4,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6) and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""",15,0
balance_wc3,5,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (1,2,3,6)  and a.is_open_label = 'f' and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.number is not null and d.study_id = 441 and d.id = 531 and i.status in (2,3,6) and l.released_at < '2014-06-29' and md.name ='Depot1' and md.deleted='f' and d.study_id <500 and l.release_status = 2;""",15,14
balance_wc2,0,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id = 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id = 530 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""",7,0
balance_wc2,1,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id = 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id <> 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""",7,0
balance_wm1,5,w    ,"""select sg.id as sgid, s.id as sid, d.id as did from medidata_studies as sg join studies as s on sg.id = s.external_id join depots d on d.study_id = s.id where (sg.parent_id = 239 and sg.is_production = 'f' and s.can_generate_blocks ='f') or (sg.parent_id = 284 and s.live = 'f' and s.can_generate_blocks ='t');""","""select sg.id as sgid, s.id as sid, d.id as did from medidata_studies as sg join studies as s on sg.id = s.external_id join depots d on d.study_id = s.id where (sg.parent_id = 239 and sg.is_production = 'f' and s.can_generate_blocks = 'f') or (sg.parent_id = 284 );""",15,0
balance_wc2,2,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id = 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or (d.id = 531 and d.active_for_drug_shipping = 'f') or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""",5,0
balance_wc2,3,w    ,"""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.id = 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""","""select md.id as mdid,  d.id as did,  i.id as iid, a.id as aid from medidata_depots md join depots d on d.medidata_depot_id = md.id join unnumbered_inventory_items i on d.id = i.depot_id join lots l on i.lot_id = l.id join article_types a on l.article_type_id = a.id where md.id = 317 or d.study_id = 531 or i.quantity =75 or d.emails = 'hvardhinedi@mdsol.com'or i.study_id = 382 or l.id = 1060 or l.expiry_date > '2025-01-01' or l.released_at ='2015-06-02' or a.name = 'Un1' and l.article_type_id =1264 ;""",22,53
