script_name,test_id,duration,final_score
employees_c01,0,6,151
employees_c01,1,8,561
employees_c01,2,9,274
employees_c01,3,0,63
employees_c01,4,35,858
employees_c01,5,27,92
employees_m03,3,3,2885
employees_c02,0,13,689
employees_c02,1,0,381
employees_c02,2,8,964
employees_c02,3,0,210
employees_c02,4,32,6682
employees_c02,5,0,203
employees_m03,4,186,1552
employees_c03,0,7,1740
employees_c03,1,7,4435
employees_c03,2,0,1533
employees_c03,3,0,1410
employees_c03,4,23,20973
employees_c03,5,0,862
employees_s02,0,9,46309
employees_c05,0,8,2
employees_c05,1,7,1963
employees_c05,2,0,1762
employees_c05,3,7,1556
employees_c05,4,15,1294
employees_m03,5,100,198
employees_s02,1,2,611
employees_c05,5,0,20
employees_c08,0,8,102
employees_c08,1,0,1035
employees_c08,2,7,392
employees_c08,3,0,44
employees_c08,4,1,2352
employees_s01,5,9,525
employees_c08,5,0,1071
employees_j01,0,4,0
employees_m01,0,15,46
employees_m01,1,2,1
employees_m01,2,2,1
employees_m01,3,3,535
employees_m01,4,9,136
employees_m01,5,5,78
employees_m03,0,12,9
employees_m03,1,2,753
employees_m03,2,2,21
employees_m04,0,13,929
employees_m04,1,2,95
employees_m04,2,84,3774
employees_m04,3,3,36
employees_m04,4,260,3918
employees_m04,5,2,36
employees_m05,0,13,8
employees_m05,1,3,176
employees_m05,2,2,87
employees_m05,3,0,10
employees_m05,4,6,368
employees_m05,5,85,2430
employees_m06,0,4,4391
employees_m06,1,0,98
employees_m06,2,0,33
employees_m06,3,0,11
employees_m06,4,8,4881
employees_m06,5,0,150
employees_s01,0,9,573
employees_s01,1,5,1405
employees_s01,2,2,687
employees_s01,3,3,177
employees_s01,4,8,2063
employees_s02,2,2,25450
employees_s02,3,2,1
employees_s02,4,7,3573
employees_s02,5,2,3574
employees_s05,0,9,19
employees_s05,1,0,116
employees_s05,2,5,103
employees_s05,3,1,35
employees_s05,4,4,236
employees_s05,5,3,27
employees_s06,0,0,44
employees_s06,1,0,162
employees_s06,2,0,77
employees_s06,3,0,63
employees_s06,4,0,327
employees_s06,5,7,70
employees_s08,0,0,120
employees_s08,1,7,1679
employees_s08,2,0,1987
employees_s08,3,0,1986
employees_s08,4,0,2056
employees_s08,5,7,1779
