script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,total_test_cnt
polling_etl_jc3,0    ,149,1,149,0,0,-2,0,0,0,0,0,0,0,0,0,1,249
polling_etl_jc3,1    ,48,1,48,0,0,-2,1,1,1,0,0,0.333333,0.285714,0,0.333333,1,249
polling_etl_jc3,2    ,0,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,249
polling_etl_jc3,3    ,48,2,48,0,0,-2,0.333333,0.333333,0.333333,0,0,0.111111,0.0952381,0,0.111111,2,249
polling_etl_jm1,0    ,115,1,115,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_jm1,1    ,40,1,40,0,0,-2,0.666667,0.666667,0.666667,1,0,0.4,0.4,0,0.4,1,215
polling_etl_jm1,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_jm1,3    ,304,2,304,0,0,-2,0,0,0,0,0,0,0,0,0,2,479
polling_etl_jc2,0    ,75,1,75,0,0,-2,0,0,0,0,0,0,0,0,0,1,175
polling_etl_jc2,1    ,40,1,40,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_jc2,2    ,0,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,175
polling_etl_jc2,3    ,75,2,75,0,0,-2,0,0,0,0,0,0,0,0,0,2,175
polling_etl_js1,0    ,115,3,115,0,0,-2,0,0,0,0,0,0,0,0,0,3,215
polling_etl_js1,1    ,74,2,74,0,0,-2,0.666667,0.666667,0.666667,0,0,0.5,0.5,0,0.5,2,215
polling_etl_js1,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_js1,3    ,74,1,74,0,0,-2,0.333333,0.333333,0.333333,0,0,0.25,0.25,0,0.25,1,215
polling_etl_jc5,0    ,439,1,439,0,0,-2,0,0,0,0,0,0,0,0,0,1,539
polling_etl_jc5,1    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,539
polling_etl_jc5,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,539
polling_etl_jc5,3    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,539
polling_etl_jc4,0    ,149,1,149,0,0,-2,0,0,0,0,0,0,0,0,0,1,249
polling_etl_jc4,1    ,48,1,48,0,0,-2,1,1,1,0,0,0.333333,0.285714,0,0.333333,1,249
polling_etl_jc4,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,249
polling_etl_jc4,3    ,48,1,48,0,0,-2,0.5,0.5,0.5,0,0,0.166667,0.142857,0,0.166667,1,249
polling_etl_jm4,0    ,71,1,71,0,0,-2,0.666667,0.666667,0.666667,1,0,0.285714,0.285714,0,0.285714,1,175
polling_etl_jm4,1    ,26,1,26,0,0,-2,0,0,0,0,0,0,0,0,0,1,201
polling_etl_jm4,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,175
polling_etl_jm4,3    ,26,1,26,0,0,-2,0,0,0,0,0,0,0,0,0,1,201
polling_etl_js3,0    ,115,3,115,0,0,-2,0,0,0,0,0,0,0,0,0,3,215
polling_etl_js3,1    ,74,2,74,0,0,-2,0.666667,0.666667,0.666667,0,0,0.5,0.5,0,0.5,2,215
polling_etl_js3,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_js3,3    ,74,1,74,0,0,-2,0.333333,0.333333,0.333333,0,0,0.25,0.25,0,0.25,1,215
polling_etl_js2,0    ,115,3,115,0,0,-2,0,0,0,0,0,0,0,0,0,3,215
polling_etl_js2,1    ,74,2,74,0,0,-2,0.666667,0.666667,0.666667,0,0,0.5,0.5,0,0.5,2,215
polling_etl_js2,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_js2,3    ,74,1,74,0,0,-2,0.333333,0.333333,0.333333,0,0,0.25,0.25,0,0.25,1,215
polling_etl_jm5,0    ,23,1,23,0,0,-2,0.5,0.5,0.5,0,0,0,0.5,0,0.5,1,123
